original_address,lat,lon,formatted,name,housenumber,street,suburb,county,postcode,district,city,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
"""34 BUCHANAN ST, SAN FRANCISCO, CA 94102""",37.77000412221638,-122.42652785256892,"34 Buchanan Street, San Francisco, CA 94102, United States of America",,34,Buchanan Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""355 GROVE ST, 407, SAN FRANCISCO, CA 94102""",37.778008,-122.431272,"San Francisco, CA 94102, United States of America",,,,,San Francisco County,94102,,San Francisco,California,CA,United States,us,0.17728531855955676,1,,,,https://www.whosonfirst.org/docs/licenses/
"""636 OCTAVIA ST, SAN FRANCISCO, CA 94102""",37.778207,-122.424826,"636 Octavia Street, San Francisco, CA 94102, United States of America",,636,Octavia Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""625 OCTAVIA ST, SAN FRANCISCO, CA 94102""",37.777766346938776,-122.42494726530613,"625 Octavia Street, San Francisco, CA 94102, United States of America",,625,Octavia Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""436 FELL ST, SAN FRANCISCO, CA 94102""",37.77574393478261,-122.42503804347827,"436 Fell Street, San Francisco, CA 94102, United States of America",,436,Fell Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""100 GOUGH ST, SAN FRANCISCO, CA 94102""",37.7742299,-122.4223226,"Baiano Pizzeria, 100 Gough Street, San Francisco, CA 94102, United States of America",Baiano Pizzeria,100,Gough Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""231 LILY ST, SAN FRANCISCO, CA 94102""",37.77418865306123,-122.42469212244897,"231 Lily Street, San Francisco, CA 94102, United States of America",,231,Lily Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""40 BUCHANAN ST, SAN FRANCISCO, CA 94102""",37.770055392008594,-122.42653967889058,"40 Buchanan Street, San Francisco, CA 94102, United States of America",,40,Buchanan Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""447 HICKORY ST, SAN FRANCISCO, CA 94102""",37.77488777827452,-122.42674752367463,"447 Hickory Street, San Francisco, CA 94102, United States of America",,447,Hickory Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""335-341 OAK ST, SAN FRANCISCO, CA 94102""",37.77465032653061,-122.42484616326531,"335 Oak Street, San Francisco, CA 94102, United States of America",,335,Oak Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""150 HAIGHT ST, SAN FRANCISCO, CA 94102""",37.772918265306124,-122.42472014285714,"150 Haight Street, San Francisco, CA 94102, United States of America",,150,Haight Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""225 FELL ST, SAN FRANCISCO, CA 94102""",37.77601636734694,-122.42161144897959,"225 Fell Street, San Francisco, CA 94102, United States of America",,225,Fell Street,,,94102,Hayes Valley,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""519 BIRCH ST, SAN FRANCISCO, CA 94102""",37.777939591836734,-122.42528657142857,"519 Birch Street, San Francisco, CA 94102, United States of America",,519,Birch Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""574 HICKORY ST, SAN FRANCISCO, CA 94102""",37.77479163265306,-122.42880906122448,"574 Hickory Street, San Francisco, CA 94102, United States of America",,574,Hickory Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""566 FELL ST, SAN FRANCISCO, CA 94102""",37.77547318367347,-122.42714648979593,"566 Fell Street, San Francisco, CA 94102, United States of America",,566,Fell Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""452-454 LILY ST, SAN FRANCISCO, CA 94102""",37.77393995918367,-122.42796795918368,"452 Lily Street, San Francisco, CA 94102, United States of America",,452,Lily Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""675-677 IVY ST, SAN FRANCISCO, CA 94102""",37.77649851282051,-122.42908612820513,"675 Ivy Street, San Francisco, CA 94102, United States of America",,675,Ivy Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""170 PAGE ST, SAN FRANCISCO, CA 94102""",37.7740597,-122.4236514,"170 Page Street, San Francisco, CA 94102, United States of America",,170,Page Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""172 LILY ST, SAN FRANCISCO, CA 94102""",37.774500591836734,-122.4235521632653,"172 Lily Street, San Francisco, CA 94102, United States of America",,172,Lily Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""224 WALLER ST, SAN FRANCISCO, CA 94102""",37.77158746753247,-122.42766883116883,"224 Waller Street, San Francisco, CA 94102, United States of America",,224,Waller Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""152 HERMANN ST, SAN FRANCISCO, CA 94102""",37.77063232653061,-122.42766095918368,"152 Hermann Street, San Francisco, CA 94102, United States of America",,152,Hermann Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""672 IVY ST, SAN FRANCISCO, CA 94102""",37.776660684210526,-122.42911778947368,"672 Ivy Street, San Francisco, CA 94102, United States of America",,672,Ivy Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""442 FELL ST, B, SAN FRANCISCO, CA 94102""",37.778008,-122.431272,"San Francisco, CA 94102, United States of America",,,,,San Francisco County,94102,,San Francisco,California,CA,United States,us,0.20897959183673473,1,,,,https://www.whosonfirst.org/docs/licenses/
"""550 LARKIN ST, SAN FRANCISCO, CA 94102""",37.78296465866137,-122.41735315041366,"550 Larkin Street, San Francisco, CA 94102, United States of America",,550,Larkin Street,,,94102,Civic Center,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""60 LEAVENWORTH ST, SAN FRANCISCO, CA 94102""",37.78051701020408,-122.41369828571428,"60 Leavenworth Street, San Francisco, CA 94102, United States of America",,60,Leavenworth Street,,,94102,Tenderloin,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""1066 MARKET ST, SAN FRANCISCO, CA 94102""",37.78161512068093,-122.41129046655546,"1066 Market Street, San Francisco, CA 94102, United States of America",,1066,Market Street,,,94102,Tenderloin,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""724-726 BUCHANAN ST, SAN FRANCISCO, CA 94102""",37.77659392307692,-122.42787753846154,"724 Buchanan Street, San Francisco, CA 94102, United States of America",,724,Buchanan Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""462-466 LINDEN ST, SAN FRANCISCO, CA 94102""",37.77616044897959,-122.4255410612245,"462 Linden Street, San Francisco, CA 94102, United States of America",,462,Linden Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""577-583 BIRCH ST, SAN FRANCISCO, CA 94102""",37.777838387755104,-122.42607785714286,"577 Birch Street, San Francisco, CA 94102, United States of America",,577,Birch Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""304 LILY ST, SAN FRANCISCO, CA 94102""",37.774187020408164,-122.42601914285714,"304 Lily Street, San Francisco, CA 94102, United States of America",,304,Lily Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""637-639 LINDEN ST, SAN FRANCISCO, CA 94102""",37.77562318367347,-122.42844604081633,"637 Linden Street, San Francisco, CA 94102, United States of America",,637,Linden Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""216 LILY ST, SAN FRANCISCO, CA 94102""",37.77437063414634,-122.42457604878048,"216 Lily Street, San Francisco, CA 94102, United States of America",,216,Lily Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""47 OCTAVIA ST, SAN FRANCISCO, CA 94102""",37.772334484848486,-122.42384987878788,"47 Octavia Street, San Francisco, CA 94102, United States of America",,47,Octavia Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""595 OFARRELL ST, SAN FRANCISCO, CA 94102""",37.785423,-122.41442,"595 Ofarrell Street, San Francisco, CA 94102.0, United States of America",,595,Ofarrell Street,Tenderloin,San Francisco County,94102.0,,San Francisco,California,CA,United States,us,0.9,1,1,© OpenAddresses contributors,BSD-3-Clause License,
"""685 GEARY ST, SAN FRANCISCO, CA 94102""",37.7864795,-122.41446775,"685 Geary Street, San Francisco, CA 94102, United States of America",,685,Geary Street,,,94102,Lower Nob Hill,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""571 FELL ST, SAN FRANCISCO, CA 94102""",37.77531002325581,-122.42711576744186,"571 Fell Street, San Francisco, CA 94102, United States of America",,571,Fell Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""331 OCTAVIA ST, SAN FRANCISCO, CA 94102""",37.7753755,-122.424639485217,"331 Octavia Street, San Francisco, CA 94102, United States of America",,331,Octavia Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""615 OCTAVIA ST, SAN FRANCISCO, CA 94102""",37.77774328571428,-122.42494257142857,"615 Octavia Street, San Francisco, CA 94102, United States of America",,615,Octavia Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""23 FRANKLIN ST, SAN FRANCISCO, CA 94102""",37.7746497,-122.4209649,"23 Franklin Street, San Francisco, CA 94102, United States of America",,23,Franklin Street,,,94102,Hayes Valley,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""725 GROVE ST, SAN FRANCISCO, CA 94102""",37.777047315789474,-122.42847168421052,"725 Grove Street, San Francisco, CA 94102, United States of America",,725,Grove Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""435 OAK ST, SAN FRANCISCO, CA 94102""",37.774438326530614,-122.42649371428571,"435 Oak Street, San Francisco, CA 94102, United States of America",,435,Oak Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""118 HAIGHT ST, SAN FRANCISCO, CA 94102""",37.7729737755102,-122.42428357142857,"118 Haight Street, San Francisco, CA 94102, United States of America",,118,Haight Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""630 OCTAVIA ST, SAN FRANCISCO, CA 94102""",37.777936411764706,-122.4247715882353,"630 Octavia Street, San Francisco, CA 94102, United States of America",,630,Octavia Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""282 LINDEN ST, SAN FRANCISCO, CA 94102""",37.77654491836734,-122.42252706122449,"282 Linden Street, San Francisco, CA 94102, United States of America",,282,Linden Street,,,94102,Hayes Valley,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""430 OFARRELL ST, SAN FRANCISCO, CA 94102""",37.78615,-122.41192,"430 Ofarrell Street, San Francisco, CA 94102.0, United States of America",,430,Ofarrell Street,Tenderloin,San Francisco County,94102.0,,San Francisco,California,CA,United States,us,0.9,1,1,© OpenAddresses contributors,BSD-3-Clause License,
"""281 ROSE ST, SAN FRANCISCO, CA 94102""",37.7731692244898,-122.42519042857143,"281 Rose Street, San Francisco, CA 94102, United States of America",,281,Rose Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""133 BUCHANAN ST, SAN FRANCISCO, CA 94102""",37.770993979591836,-122.42695371428572,"133 Buchanan Street, San Francisco, CA 94102, United States of America",,133,Buchanan Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""527 OCTAVIA ST, SAN FRANCISCO, CA 94102""",37.77697725,-122.42479025,"527 Octavia Street, San Francisco, CA 94102, United States of America",,527,Octavia Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""1 POLK ST, SAN FRANCISCO, CA 94102""",37.7792929,-122.41926032381016,"San Francisco City Hall, 1 Polk Street, San Francisco, CA 94102, United States of America",San Francisco City Hall,1,Polk Street,,,94102,Civic Center,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""634 LAGUNA ST, B, SAN FRANCISCO, CA 94102""",37.778008,-122.431272,"San Francisco, CA 94102, United States of America",,,,,San Francisco County,94102,,San Francisco,California,CA,United States,us,0.18699780861943027,1,,,,https://www.whosonfirst.org/docs/licenses/
"""372-378 LILY ST, SAN FRANCISCO, CA 94102""",37.77406836734694,-122.42695657142856,"372 Lily Street, San Francisco, CA 94102, United States of America",,372,Lily Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""567 HAYES ST, SAN FRANCISCO, CA 94102""",37.776458999999996,-122.42564866666666,"567 Hayes Street, San Francisco, CA 94102, United States of America",,567,Hayes Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""286 LILY ST, SAN FRANCISCO, CA 94102""",37.77428,-122.42554,"286 Lily Street, San Francisco, CA 94102.0, United States of America",,286,Lily Street,Lower Haight,San Francisco County,94102.0,,San Francisco,California,CA,United States,us,0.9,1,1,© OpenAddresses contributors,BSD-3-Clause License,
"""518 TAYLOR ST, SAN FRANCISCO, CA 94102""",37.7872982,-122.4114436,"Siam Orchid, 518 Taylor Street, San Francisco, CA 94102, United States of America",Siam Orchid,518,Taylor Street,,,94102,Lower Nob Hill,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""235 PAGE ST, SAN FRANCISCO, CA 94102""",37.77371502040816,-122.42465751020409,"235 Page Street, San Francisco, CA 94102, United States of America",,235,Page Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""250 TAYLOR ST, SAN FRANCISCO, CA 94102""",37.78462804081632,-122.41094491836735,"250 Taylor Street, San Francisco, CA 94102, United States of America",,250,Taylor Street,,,94102,Tenderloin,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""406 FELL ST, SAN FRANCISCO, CA 94102""",37.775801,-122.424605,"406 Fell Street, San Francisco, CA 94102, United States of America",,406,Fell Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""JONES ST, 305, SAN FRANCISCO, CA 94102""",37.785008149999996,-122.43006012319672,"Japan Video, 1737 Post Street, San Francisco, CA 95115, United States of America",Japan Video,1737,Post Street,,,95115,Western Addition,San Francisco,California,CA,United States,us,0,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""PAGE ST, SAN FRANCISCO, CA 94102""",37.7738956,-122.423968,"Page Street, San Francisco, CA 94102, United States of America",Page Street,,Page Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.475,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""HICKORY ST, SAN FRANCISCO, CA 94102""",37.7756095,-122.4217537,"Hickory Street, San Francisco, CA 94102, United States of America",Hickory Street,,Hickory Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.475,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""OAK ST, SAN FRANCISCO, CA 94102""",37.7748208,-122.4242103,"Oak Street, San Francisco, CA 94102, United States of America",Oak Street,,Oak Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.475,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""FULTON ST, SAN FRANCISCO, CA 94102""",37.7787484,-122.4233714,"Fulton Street, San Francisco, CA 94102, United States of America",Fulton Street,,Fulton Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.475,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""HERMANN ST, SAN FRANCISCO, CA 94102""",37.7706675,-122.426797,"Hermann Street, San Francisco, CA 94143, United States of America",Hermann Street,,Hermann Street,,,94143,Western Addition,San Francisco,California,CA,United States,us,0.475,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""FELL ST, SAN FRANCISCO, CA 94102""",37.7759099,-122.4231952,"Fell Street, San Francisco, CA 94102, United States of America",Fell Street,,Fell Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.475,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""GOUGH ST, SAN FRANCISCO, CA 94102""",37.7768155,-122.422981,"Gough Street, San Francisco, CA 94102, United States of America",Gough Street,,Gough Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""JONES ST, SAN FRANCISCO, CA 94102""",37.7858865,-122.4130069,"Jones Street, San Francisco, CA 94102, United States of America",Jones Street,,Jones Street,,,94102,Tenderloin,San Francisco,California,CA,United States,us,0.475,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""FELL ST, SAN FRANCISCO, CA 94102""",37.7759099,-122.4231952,"Fell Street, San Francisco, CA 94102, United States of America",Fell Street,,Fell Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.475,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""GROVE ST, SAN FRANCISCO, CA 94102""",37.7788136,-122.4153873,"Grove Street, San Francisco, CA 94102, United States of America",Grove Street,,Grove Street,,,94102,Civic Center,San Francisco,California,CA,United States,us,0.475,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""OAK ST, SAN FRANCISCO, CA 94102""",37.7748208,-122.4242103,"Oak Street, San Francisco, CA 94102, United States of America",Oak Street,,Oak Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.475,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""OCTAVIA ST, SAN FRANCISCO, CA 94102""",37.7879461,-122.427042,"Octavia, 1701 Octavia Street, San Francisco, CA 94164, United States of America",Octavia,1701,Octavia Street,,,94164,Western Addition,San Francisco,California,CA,United States,us,0.475,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""LINDEN ST, SAN FRANCISCO, CA 94102""",37.7765943,-122.4215425,"Linden Street, San Francisco, CA 94102, United States of America",Linden Street,,Linden Street,,,94102,Hayes Valley,San Francisco,California,CA,United States,us,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""HAIGHT ST, SAN FRANCISCO, CA 94102""",37.7729706,-122.423724,"Haight Street, San Francisco, CA 94103, United States of America",Haight Street,,Haight Street,,,94103,Western Addition,San Francisco,California,CA,United States,us,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""GROVE ST, SAN FRANCISCO, CA 94102""",37.7788136,-122.4153873,"Grove Street, San Francisco, CA 94102, United States of America",Grove Street,,Grove Street,,,94102,Civic Center,San Francisco,California,CA,United States,us,0.475,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""HAYES ST, SAN FRANCISCO, CA 94102""",37.7772431,-122.4201859,"Hayes Street, San Francisco, CA 94102, United States of America",Hayes Street,,Hayes Street,,,94102,Hayes Valley,San Francisco,California,CA,United States,us,0.475,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""BUCHANAN ST, SAN FRANCISCO, CA 94102""",37.7929708,-122.431302,"Buchanan Street, San Francisco, CA 94123, United States of America",Buchanan Street,,Buchanan Street,,,94123,Western Addition,San Francisco,California,CA,United States,us,0.475,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""LILY ST, SAN FRANCISCO, CA 94102""",37.7745618,-122.4225256,"Lily Street, San Francisco, CA 94103, United States of America",Lily Street,,Lily Street,,,94103,Western Addition,San Francisco,California,CA,United States,us,0.475,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""HAYES ST, SAN FRANCISCO, CA 94102""",37.7772431,-122.4201859,"Hayes Street, San Francisco, CA 94102, United States of America",Hayes Street,,Hayes Street,,,94102,Hayes Valley,San Francisco,California,CA,United States,us,0.475,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""FELL ST, SAN FRANCISCO, CA 94102""",37.7759099,-122.4231952,"Fell Street, San Francisco, CA 94102, United States of America",Fell Street,,Fell Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.475,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""TAYLOR ST, SAN FRANCISCO, CA 94102""",37.7822886,-122.4105085,"Taylor Street, San Francisco, CA 94102, United States of America",Taylor Street,,Taylor Street,,,94102,Tenderloin,San Francisco,California,CA,United States,us,0.475,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
